ax,	ay,	az,	ox,	oy,	oz,	dz,	dv,	t
-2.7594e-01,	-4.2701e-01,	1.0005e+01,	-1.7005e-03,	8.1352e-04,	4.2122e-03,	0.0000e+00,	0,	1460043937926708047,	0
-3.3556e-01,	-3.5161e-01,	1.0037e+01,	-7.7709e-03,	-5.4504e-03,	3.5043e-03,	0.0000e+00,	0,	1460043937929063530,	2355483
-3.2458e-01,	-3.4044e-01,	1.0044e+01,	-6.2660e-03,	-5.3807e-03,	3.2029e-03,	0.0000e+00,	0,	1460043937931511804,	4803757
-3.1708e-01,	-3.5343e-01,	1.0054e+01,	-4.8958e-03,	-4.8728e-03,	3.3934e-03,	0.0000e+00,	0,	1460043937934057661,	7349614
-3.2228e-01,	-3.8055e-01,	1.0044e+01,	-4.6671e-03,	-4.3908e-03,	3.8651e-03,	0.0000e+00,	0,	1460043937936554101,	9846054
-3.3317e-01,	-3.8923e-01,	1.0027e+01,	-5.0110e-03,	-4.4117e-03,	3.6033e-03,	0.0000e+00,	0,	1460043937939038417,	12330370
-3.2676e-01,	-3.6786e-01,	1.0022e+01,	-4.9493e-03,	-4.6601e-03,	2.9859e-03,	0.0000e+00,	0,	1460043937941564649,	14856602
-3.1484e-01,	-3.4611e-01,	1.0027e+01,	-4.5087e-03,	-4.9121e-03,	3.3409e-03,	0.0000e+00,	0,	1460043937944062173,	17354126
-3.1601e-01,	-3.4005e-01,	1.0036e+01,	-4.4067e-03,	-5.1983e-03,	4.2576e-03,	0.0000e+00,	0,	1460043937946510239,	19802192
-3.2366e-01,	-3.4310e-01,	1.0029e+01,	-4.4152e-03,	-5.6061e-03,	4.0290e-03,	0.0000e+00,	0,	1460043937949064804,	22356757
-3.2873e-01,	-3.5012e-01,	1.0011e+01,	-3.9276e-03,	-5.8158e-03,	2.3356e-03,	0.0000e+00,	0,	1460043937951564869,	24856822
-3.2239e-01,	-3.5276e-01,	9.9990e+00,	-3.6530e-03,	-5.9163e-03,	2.2293e-04,	0.0000e+00,	0,	1460043937954027935,	27319888
-3.1597e-01,	-3.5002e-01,	9.9987e+00,	-3.8900e-03,	-6.6719e-03,	-9.7766e-04,	0.0000e+00,	0,	1460043937956579167,	29871120
-3.1967e-01,	-3.5452e-01,	1.0022e+01,	-3.9468e-03,	-7.2074e-03,	-5.5684e-04,	0.0000e+00,	0,	1460043937959102691,	32394644
-3.2230e-01,	-3.6708e-01,	1.0049e+01,	-4.1063e-03,	-6.5424e-03,	1.8679e-03,	0.0000e+00,	0,	1460043937961565048,	34857001
-3.1689e-01,	-3.7033e-01,	1.0054e+01,	-4.8784e-03,	-5.8896e-03,	3.5326e-03,	0.0000e+00,	0,	1460043937964060530,	37352483
-3.1494e-01,	-3.6630e-01,	1.0047e+01,	-5.8525e-03,	-5.7859e-03,	2.7101e-03,	0.0000e+00,	0,	1460043937966535971,	39827924
-3.2523e-01,	-3.6370e-01,	1.0037e+01,	-6.1217e-03,	-5.6511e-03,	1.7065e-03,	1.3477e-01,	1,	1460043937969027911,	42319864
-3.3095e-01,	-3.6531e-01,	1.0033e+01,	-5.5761e-03,	-5.3867e-03,	1.9188e-03,	0.0000e+00,	0,	1460043937971550477,	44842430
-3.2881e-01,	-3.6466e-01,	1.0047e+01,	-5.4154e-03,	-4.6964e-03,	2.4903e-03,	0.0000e+00,	0,	1460043937974022876,	47314829
-3.2199e-01,	-3.6757e-01,	1.0057e+01,	-6.0690e-03,	-4.2635e-03,	3.7043e-03,	0.0000e+00,	0,	1460043937976525858,	49817811
-3.2487e-01,	-3.7226e-01,	1.0054e+01,	-6.3133e-03,	-5.0586e-03,	4.8697e-03,	1.3473e-01,	1,	1460043937979059382,	52351335
-3.3886e-01,	-3.6728e-01,	1.0042e+01,	-5.8770e-03,	-6.6166e-03,	4.5150e-03,	0.0000e+00,	0,	1460043937981536906,	54828859
-3.4017e-01,	-3.5756e-01,	1.0026e+01,	-5.8741e-03,	-7.5070e-03,	3.3526e-03,	0.0000e+00,	0,	1460043937984047263,	57339216
-3.3199e-01,	-3.5057e-01,	1.0029e+01,	-6.5831e-03,	-7.0014e-03,	2.2348e-03,	0.0000e+00,	0,	1460043937986554828,	59846781
-3.2863e-01,	-3.4716e-01,	1.0052e+01,	-7.5579e-03,	-5.4566e-03,	2.4260e-03,	0.0000e+00,	0,	1460043937989031144,	62323097
-3.3593e-01,	-3.5168e-01,	1.0057e+01,	-7.2615e-03,	-4.7433e-03,	3.4429e-03,	0.0000e+00,	0,	1460043937991524626,	64816579
-3.4631e-01,	-3.6245e-01,	1.0023e+01,	-5.9387e-03,	-4.9766e-03,	4.8702e-03,	0.0000e+00,	0,	1460043937994027816,	67319769
-3.4628e-01,	-3.6321e-01,	9.9954e+00,	-4.0636e-03,	-5.6288e-03,	5.9559e-03,	0.0000e+00,	0,	1460043937996525799,	69817752
-3.3955e-01,	-3.5874e-01,	1.0014e+01,	-2.9869e-03,	-6.9150e-03,	5.4199e-03,	0.0000e+00,	0,	1460043937999027364,	72319317
-3.3005e-01,	-3.6427e-01,	1.0053e+01,	-2.8009e-03,	-8.9119e-03,	4.3064e-03,	0.0000e+00,	0,	1460043938001536513,	74828466
-3.2448e-01,	-3.7582e-01,	1.0075e+01,	-2.8811e-03,	-9.8303e-03,	3.3291e-03,	0.0000e+00,	0,	1460043938004029120,	77321073
-3.2307e-01,	-3.7901e-01,	1.0075e+01,	-3.4998e-03,	-7.2160e-03,	2.2577e-03,	0.0000e+00,	0,	1460043938006512311,	79804264
-3.2686e-01,	-3.7415e-01,	1.0057e+01,	-4.2364e-03,	-2.5351e-03,	1.9589e-03,	0.0000e+00,	0,	1460043938009037918,	82329871
-3.2654e-01,	-3.6919e-01,	1.0031e+01,	-4.7232e-03,	-1.0904e-03,	2.4353e-03,	0.0000e+00,	0,	1460043938011536608,	84828561
-3.1959e-01,	-3.6571e-01,	1.0016e+01,	-5.3836e-03,	-3.8578e-03,	3.6467e-03,	0.0000e+00,	0,	1460043938014016382,	87308335
-3.1492e-01,	-3.6500e-01,	1.0025e+01,	-5.7339e-03,	-6.8339e-03,	4.8791e-03,	0.0000e+00,	0,	1460043938016517031,	89808984
-3.1314e-01,	-3.7208e-01,	1.0036e+01,	-5.9550e-03,	-7.3743e-03,	5.2752e-03,	0.0000e+00,	0,	1460043938019039721,	92331674
-3.1281e-01,	-3.7908e-01,	1.0043e+01,	-6.8430e-03,	-6.4676e-03,	4.1193e-03,	0.0000e+00,	0,	1460043938021531079,	94823032
-3.1580e-01,	-3.7845e-01,	1.0049e+01,	-7.2658e-03,	-4.9618e-03,	3.2293e-03,	0.0000e+00,	0,	1460043938024011394,	97303347
-3.2090e-01,	-3.7354e-01,	1.0063e+01,	-6.1556e-03,	-4.5927e-03,	2.7465e-03,	0.0000e+00,	0,	1460043938026530376,	99822329
-3.1685e-01,	-3.6996e-01,	1.0068e+01,	-5.1207e-03,	-5.7830e-03,	1.9557e-03,	0.0000e+00,	0,	1460043938029030192,	102322145
-3.1073e-01,	-3.6904e-01,	1.0055e+01,	-4.7213e-03,	-6.6490e-03,	9.1558e-04,	0.0000e+00,	0,	1460043938031519466,	104811419
-3.1611e-01,	-3.7030e-01,	1.0046e+01,	-5.2373e-03,	-6.2948e-03,	1.0219e-03,	0.0000e+00,	0,	1460043938034032989,	107324942
-3.3237e-01,	-3.6671e-01,	1.0060e+01,	-6.0743e-03,	-5.4956e-03,	2.2334e-03,	0.0000e+00,	0,	1460043938036541930,	109833883
-3.4031e-01,	-3.6495e-01,	1.0071e+01,	-7.3058e-03,	-4.9552e-03,	3.4287e-03,	0.0000e+00,	0,	1460043938039019579,	112311532
-3.3046e-01,	-3.6587e-01,	1.0058e+01,	-8.1886e-03,	-4.8140e-03,	4.8219e-03,	0.0000e+00,	0,	1460043938041546227,	114838180
-3.1946e-01,	-3.6856e-01,	1.0041e+01,	-7.7781e-03,	-4.9994e-03,	4.8851e-03,	0.0000e+00,	0,	1460043938044048876,	117340829
-3.2029e-01,	-3.6957e-01,	1.0039e+01,	-5.7503e-03,	-5.3415e-03,	3.7864e-03,	0.0000e+00,	0,	1460043938046523942,	119815895
-3.2780e-01,	-3.5876e-01,	1.0052e+01,	-3.3182e-03,	-5.2035e-03,	3.6075e-03,	0.0000e+00,	0,	1460043938049042757,	122334710
-3.3691e-01,	-3.4698e-01,	1.0056e+01,	-3.3419e-03,	-4.7289e-03,	4.6001e-03,	0.0000e+00,	0,	1460043938051562906,	124854859
